Employee_ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,MonthlyIncome,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,ExperienceRatio,PromotionGap,IncomePerLevel,CompanySwitchRate,RoleStability,PromotionDelay,LowIncomeFlag,Feedback,Sentiment,Attrition_Risk,Risk_Score,Risk_Level,Productivity_Risk_Score,Productivity_Risk_Level,Attrition_Risk_%,AgeGroup
1115,54,0,Travel Rarely,Software Development,22,Degree,1,Female,73957,2,2,Business Analyst,1,Divorced,5,No,9,3,2,7,10,0,1.75,7,36978.5,1.6666666666666667,1.4285714285714286,3,0,Career growth is good,0.7,0.17742537964049826,17.742537964049827,Low Risk,73.71927140542056,High,17.742537964049827,50-60
1116,25,0,Travel Frequently,IT Services,31,Below College,5,Female,66571,4,4,Software Engineer,5,Divorced,4,No,20,16,2,3,6,2,0.17647058823529413,1,16642.75,0.25,2.0,14,0,Supportive management,0.5,0.00434696976941725,0.43469697694172504,Low Risk,11.84141711357795,Low,0.43469697694172504,18-30
1117,59,0,Travel Rarely,Data Science,24,Graduation,2,Male,60498,3,2,QA Analyst,4,Married,1,No,2,2,3,0,4,7,0.0,-7,30249.0,0.5,inf,-5,0,Good work life balance,0.7,0.0023994037476633813,0.23994037476633814,Low Risk,32.395283595547,Low,0.23994037476633814,50-60
1118,45,0,Travel Rarely,Data Science,3,Degree,4,Female,183634,4,6,Support,2,Married,5,No,11,16,3,9,4,1,0.5294117647058824,8,30605.666666666668,0.3125,0.4444444444444444,15,0,Good work life balance,0.7,0.0011139365575811137,0.11139365575811137,Low Risk,38.25495182160437,Low,0.11139365575811137,40-50
1119,48,0,No Travel,Cyber Security,33,Graduation,5,Female,48436,4,5,HR,3,Divorced,10,Yes,68,14,1,1,10,7,0.06666666666666667,-6,9687.2,0.7142857142857143,10.0,7,0,Good work life balance,0.7,0.09475768843929727,9.475768843929727,Low Risk,31.083959207752304,Low,9.475768843929727,40-50
1120,26,0,Travel Rarely,IT Services,30,Degree,4,Female,188565,3,5,Support,4,Single,5,No,25,3,2,1,8,1,0.25,0,37713.0,1.6666666666666667,8.0,2,0,Supportive management,0.5,0.08765376009919039,8.76537600991904,Low Risk,33.89977223704454,Low,8.76537600991904,18-30
1121,46,0,No Travel,Software Development,26,Master's,3,Male,178726,5,2,Consultant,3,Single,9,No,26,5,2,6,4,0,1.0,6,89363.0,1.8,0.6666666666666666,5,0,Good work life balance,0.7,0.010502923901439191,1.0502923901439192,Low Risk,17.832404539437164,Low,1.0502923901439192,40-50
1122,31,1,No Travel,Software Development,34,Master's,3,Male,113036,2,4,Help Desk,1,Divorced,7,Yes,9,3,1,7,4,6,1.75,1,28259.0,2.3333333333333335,0.5714285714285714,-3,0,Poor management support,-0.4,0.9170059669529301,91.70059669529302,High Risk,86.77069353446348,High,91.70059669529302,30-40
1123,57,0,Travel Rarely,Cyber Security,22,Degree,2,Male,64582,5,4,Manager,3,Married,7,Yes,37,13,5,5,10,6,0.35714285714285715,-1,16145.5,0.5384615384615384,2.0,7,0,Career growth is good,0.7,0.003367500709463045,0.3367500709463045,Low Risk,17.706485306637585,Low,0.3367500709463045,50-60
1124,58,0,No Travel,Cyber Security,30,Degree,5,Female,52508,2,3,QA Analyst,4,Married,6,No,76,19,4,4,10,6,0.2,-2,17502.666666666668,0.3157894736842105,2.5,13,0,Good work life balance,0.7,0.0016459312982241812,0.16459312982241814,Low Risk,44.146692905262775,Medium,0.16459312982241814,50-60
1125,39,0,Travel Rarely,Data Science,35,Graduation,3,Female,155362,5,2,QA Analyst,2,Married,8,No,89,16,3,3,9,3,0.17647058823529413,0,77681.0,0.5,3.0,13,0,I am happy with my team,0.8,0.006427149961820705,0.6427149961820705,Low Risk,26.58400852873801,Low,0.6427149961820705,30-40
1126,28,0,No Travel,Software Development,25,Degree,2,Male,180717,2,7,Director,1,Single,2,No,47,16,5,7,3,5,0.4117647058823529,2,25816.714285714286,0.125,0.42857142857142855,11,0,Supportive management,0.5,0.03572349978802905,3.572349978802905,Low Risk,71.21864999625934,High,3.572349978802905,18-30
1127,40,0,No Travel,Software Development,28,Graduation,2,Female,136340,3,2,Business Analyst,5,Divorced,7,No,26,19,3,3,1,2,0.15,1,68170.0,0.3684210526315789,0.3333333333333333,17,0,Good work life balance,0.7,0.009631297132067614,0.9631297132067614,Low Risk,23.69937583174237,Low,0.9631297132067614,30-40
1128,18,0,Travel Rarely,Software Development,33,PhD,2,Male,69680,3,6,Consultant,3,Single,7,No,63,14,1,7,7,1,0.4666666666666667,6,11613.333333333334,0.5,1.0,13,0,Supportive management,0.5,0.24743897955073083,24.743897955073084,Low Risk,45.543040815601124,Medium,24.743897955073084,
1129,63,0,Travel Rarely,Data Science,23,PhD,5,Female,78353,3,5,QA Analyst,2,Single,4,No,46,4,2,3,3,2,0.6,1,15670.6,1.0,1.0,2,0,Career growth is good,0.7,0.013226255344033667,1.3226255344033666,Low Risk,50.233404506071174,Medium,1.3226255344033666,
1130,54,0,Travel Frequently,Software Development,26,Graduation,5,Female,66260,1,2,Support,4,Married,0,Yes,7,18,2,6,3,4,0.3157894736842105,2,33130.0,0.0,0.5,14,0,Good work life balance,0.7,0.0034160495305469475,0.34160495305469474,Low Risk,55.94263616818612,Medium,0.34160495305469474,50-60
1131,38,0,Travel Rarely,Network Administration,9,Master's,2,Male,127426,2,1,Business Analyst,1,Single,7,No,86,0,2,0,3,8,0.0,-8,127426.0,inf,inf,-8,0,Career growth is good,0.7,0.057101091901748266,5.710109190174826,Low Risk,71.59590162179555,High,5.710109190174826,30-40
1132,43,0,No Travel,Cyber Security,8,Master's,1,Male,60710,3,8,Technician,2,Single,10,No,63,19,5,3,7,4,0.15,-1,7588.75,0.5263157894736842,2.3333333333333335,15,0,Career growth is good,0.7,0.3119884543372013,31.19884543372013,Low Risk,55.505678605950614,Medium,31.19884543372013,40-50
1133,63,0,Travel Rarely,Cyber Security,37,PhD,5,Male,100763,5,4,QA Analyst,5,Divorced,1,No,84,18,4,1,5,3,0.05263157894736842,-2,25190.75,0.05555555555555555,5.0,15,0,Good work life balance,0.7,0.0012295729478690868,0.12295729478690867,Low Risk,0.021698346138866238,Low,0.12295729478690867,
1134,53,0,Travel Rarely,Cyber Security,33,Degree,5,Male,172866,1,6,Software Engineer,3,Married,10,No,55,12,1,3,10,8,0.23076923076923078,-5,28811.0,0.8333333333333334,3.3333333333333335,4,0,Career growth is good,0.7,0.057595723404993686,5.759572340499369,Low Risk,65.72227747185283,Medium,5.759572340499369,50-60
1135,40,1,Travel Rarely,Cyber Security,15,Master's,1,Female,190116,1,4,Software Engineer,1,Single,3,Yes,64,20,2,2,2,5,0.09523809523809523,-3,47529.0,0.15,1.0,15,0,Salary is low,0.0,0.9532814440661834,95.32814440661835,High Risk,99.1755548952856,High,95.32814440661835,30-40
1136,18,0,Travel Frequently,Network Administration,49,Degree,5,Female,56894,3,6,Help Desk,2,Divorced,9,No,1,19,5,8,9,7,0.4,1,9482.333333333334,0.47368421052631576,1.125,12,0,Supportive management,0.5,0.0033003791797123843,0.33003791797123844,Low Risk,50.05824198552433,Medium,0.33003791797123844,
1137,57,0,No Travel,IT Services,47,Below College,5,Male,92359,4,7,Director,4,Single,3,No,88,2,2,2,4,5,0.6666666666666666,-3,13194.142857142857,1.5,2.0,-3,0,Supportive management,0.5,0.08677973492635431,8.67797349263543,Low Risk,22.11964238105331,Low,8.67797349263543,50-60
1138,32,0,Travel Rarely,Software Development,8,Below College,3,Male,113816,3,8,Support,4,Divorced,2,No,39,10,5,4,6,3,0.36363636363636365,1,14227.0,0.2,1.5,7,0,I am happy with my team,0.8,0.0037840456670157965,0.3784045667015796,Low Risk,32.419718452947336,Low,0.3784045667015796,30-40
1139,38,0,Travel Frequently,Cyber Security,21,Graduation,1,Female,183140,4,6,Business Analyst,5,Married,2,No,11,2,3,6,8,0,2.0,6,30523.333333333332,1.0,1.3333333333333333,2,0,Good work life balance,0.7,0.06736541973212012,6.736541973212012,Low Risk,12.953507407037412,Low,6.736541973212012,30-40
1140,26,0,Travel Frequently,Software Development,3,Graduation,3,Male,61431,3,3,Manager,3,Divorced,10,Yes,43,11,1,5,9,7,0.4166666666666667,-2,20477.0,0.9090909090909091,1.8,4,0,Supportive management,0.5,0.017472649393393432,1.7472649393393431,Low Risk,41.48481145988342,Medium,1.7472649393393431,18-30
1141,26,0,Travel Rarely,Software Development,9,Graduation,1,Female,78639,2,7,HR,5,Single,2,No,36,17,3,0,2,2,0.0,-2,11234.142857142857,0.11764705882352941,inf,15,0,Supportive management,0.5,0.19195708061757719,19.195708061757717,Low Risk,38.681595540310184,Low,19.195708061757717,18-30
1142,27,0,Travel Rarely,Network Administration,14,Master's,1,Female,45474,5,2,Technician,2,Divorced,9,No,79,18,4,0,5,2,0.0,-2,22737.0,0.5,inf,16,0,Supportive management,0.5,0.005258367183429879,0.5258367183429878,Low Risk,26.56338295029582,Low,0.5258367183429878,18-30
1143,43,0,Travel Rarely,Software Development,38,Master's,1,Male,172683,4,8,HR,1,Single,6,No,11,8,5,3,6,0,0.3333333333333333,3,21585.375,0.75,2.0,8,0,I am happy with my team,0.8,0.19734192831354086,19.734192831354086,Low Risk,50.54132814670954,Medium,19.734192831354086,40-50
1144,58,0,Travel Rarely,Cyber Security,27,PhD,5,Male,96635,4,4,HR,1,Single,1,No,11,15,4,0,7,3,0.0,-3,24158.75,0.06666666666666667,inf,12,0,I am happy with my team,0.8,0.0006017341449858606,0.060173414498586056,Low Risk,47.06944236726445,Medium,0.060173414498586056,50-60
1145,52,1,Travel Rarely,Software Development,20,Graduation,2,Male,157833,1,2,Software Engineer,2,Divorced,10,No,70,16,1,4,7,6,0.23529411764705882,-2,78916.5,0.625,1.75,10,0,No promotion opportunities,0.0,0.9701112968479567,97.01112968479568,High Risk,90.64902288555217,High,97.01112968479568,50-60
1146,42,0,No Travel,Network Administration,4,PhD,4,Female,91026,4,5,Manager,1,Single,1,No,72,3,4,3,0,6,0.75,-3,18205.2,0.3333333333333333,0.0,-3,0,I am happy with my team,0.8,0.0002844384360961809,0.02844384360961809,Low Risk,47.063843031225225,Medium,0.02844384360961809,40-50
1147,43,0,No Travel,Cyber Security,24,Degree,2,Female,55306,2,4,IT,2,Married,2,No,89,8,1,8,1,0,0.8888888888888888,8,13826.5,0.25,0.125,8,0,Good work life balance,0.7,0.09853497859769088,9.853497859769087,Low Risk,63.5035584458416,Medium,9.853497859769087,40-50
1148,28,0,Travel Rarely,Network Administration,27,Degree,5,Female,57074,5,8,IT,5,Divorced,5,No,37,12,4,8,2,3,0.6153846153846154,5,7134.25,0.4166666666666667,0.25,9,0,Good work life balance,0.7,0.0004274817006541847,0.04274817006541847,Low Risk,0.007543794717426789,Low,0.04274817006541847,18-30
1149,55,0,Travel Rarely,Data Science,12,Degree,5,Female,101819,4,8,HR,3,Single,7,No,79,6,3,5,1,4,0.7142857142857143,1,12727.375,1.1666666666666667,0.2,2,0,I am happy with my team,0.8,0.004081663811001415,0.4081663811001415,Low Risk,29.483794067252965,Low,0.4081663811001415,50-60
1150,19,0,Travel Rarely,IT Services,28,Master's,4,Male,100098,1,2,HR,4,Divorced,2,No,16,10,4,4,5,2,0.36363636363636365,2,50049.0,0.2,1.25,8,0,Supportive management,0.5,0.0015666410937757807,0.15666410937757808,Low Risk,55.9099995487137,Medium,0.15666410937757808,18-30
1151,24,0,No Travel,Software Development,35,Graduation,5,Male,178688,5,2,Consultant,4,Married,7,No,46,12,4,8,2,5,0.6153846153846154,3,89344.0,0.5833333333333334,0.25,7,0,Good work life balance,0.7,4.811940684464097e-05,0.004811940684464097,Low Risk,8.824378577767847,Low,0.004811940684464097,18-30
1152,35,0,Travel Rarely,Software Development,24,Master's,1,Female,144769,4,6,Software Engineer,4,Divorced,4,No,85,3,4,4,9,5,1.0,-1,24128.166666666668,1.3333333333333333,2.25,-2,0,Good work life balance,0.7,0.016866331774565667,1.6866331774565666,Low Risk,20.88587644308057,Low,1.6866331774565666,30-40
1153,44,1,Travel Frequently,Software Development,31,Master's,3,Female,83343,2,3,Software Engineer,1,Divorced,9,No,100,8,2,4,5,3,0.4444444444444444,1,27781.0,1.125,1.25,5,0,High stress workload,0.16,0.9177323773362163,91.77323773362163,High Risk,86.78351254122735,High,91.77323773362163,40-50
1154,51,0,Travel Rarely,Data Science,3,PhD,3,Male,190132,2,4,HR,5,Single,7,No,44,19,5,9,3,8,0.45,1,47533.0,0.3684210526315789,0.3333333333333333,11,0,Supportive management,0.5,0.0005949029326474145,0.05949029326474145,Low Risk,35.30461593410554,Low,0.05949029326474145,50-60
1155,44,0,Travel Frequently,IT Services,30,PhD,1,Male,127944,5,1,Consultant,5,Divorced,5,No,65,11,3,4,2,7,0.3333333333333333,-3,127944.0,0.45454545454545453,0.5,4,0,Career growth is good,0.7,0.046106780101336356,4.610678010133635,Low Risk,0.813649060611818,Low,4.610678010133635,40-50
1156,34,1,Travel Rarely,Network Administration,27,Degree,2,Female,158085,1,8,QA Analyst,4,Divorced,4,No,38,7,2,2,1,4,0.25,-2,19760.625,0.5714285714285714,0.5,3,0,No promotion opportunities,0.0,0.9769800276222251,97.69800276222252,High Risk,73.12317695803927,High,97.69800276222252,30-40
1157,60,0,Travel Rarely,Data Science,17,Master's,3,Female,40610,2,7,Technician,5,Single,3,Yes,82,5,3,3,7,0,0.5,3,5801.428571428572,0.6,2.3333333333333335,5,0,Good work life balance,0.7,0.2964632938286667,29.64632938286667,Low Risk,40.525822832270585,Medium,29.64632938286667,50-60
1158,61,0,Travel Rarely,Data Science,6,PhD,1,Male,46242,3,8,Developer,2,Married,4,Yes,39,13,5,7,3,3,0.5,4,5780.25,0.3076923076923077,0.42857142857142855,10,0,Good work life balance,0.7,0.1606914810685499,16.069148106854993,Low Risk,52.83573201885676,Medium,16.069148106854993,
1159,41,1,Travel Rarely,Cyber Security,47,PhD,2,Male,116479,3,6,Technician,4,Divorced,9,Yes,22,18,5,9,9,7,0.47368421052631576,2,19413.166666666668,0.5,1.0,11,0,Salary is low,0.0,0.5908411407242371,59.08411407242371,Medium Risk,42.77954954219241,Medium,59.08411407242371,40-50
1160,42,1,No Travel,Data Science,43,Master's,3,Male,139663,4,4,Manager,4,Married,0,Yes,37,2,3,5,1,3,1.6666666666666667,2,34915.75,0.0,0.2,-1,0,Salary is low,0.0,0.31501002594211014,31.501002594211013,Low Risk,26.147235751919588,Low,31.501002594211013,40-50
1161,24,1,Travel Rarely,Data Science,18,Master's,1,Female,100916,2,5,QA Analyst,3,Married,8,Yes,2,4,2,10,8,3,2.0,7,20183.2,2.0,0.8,1,0,Salary is low,0.0,0.8780530363584111,87.80530363584111,High Risk,68.43623005338372,Medium,87.80530363584111,18-30
1162,23,1,Travel Rarely,Software Development,35,Graduation,3,Female,193683,3,8,Business Analyst,4,Single,8,Yes,85,13,3,4,5,7,0.2857142857142857,-3,24210.375,0.6153846153846154,1.25,6,0,No promotion opportunities,0.0,0.7599451239857161,75.99451239857162,High Risk,45.76373748210087,Medium,75.99451239857162,18-30
1163,41,0,No Travel,Cyber Security,27,Master's,3,Male,137322,4,2,Developer,1,Divorced,10,Yes,40,9,2,4,3,3,0.4,1,68661.0,1.1111111111111112,0.75,6,0,I am happy with my team,0.8,0.011000217867481288,1.1000217867481288,Low Risk,47.252945021190854,Medium,1.1000217867481288,40-50
1164,50,0,Travel Rarely,Network Administration,17,Graduation,3,Female,48200,4,4,Director,2,Single,3,Yes,71,11,4,10,9,7,0.8333333333333334,3,12050.0,0.2727272727272727,0.9,4,0,I am happy with my team,0.8,0.0006166211060854013,0.061662110608540134,Low Risk,38.246175666577976,Low,0.061662110608540134,40-50
1165,46,0,Travel Rarely,IT Services,11,Degree,4,Male,42623,4,2,Software Engineer,5,Married,10,Yes,37,15,2,5,3,2,0.3125,3,21311.5,0.6666666666666666,0.6,13,0,Career growth is good,0.7,0.0007450473975678882,0.07450473975678883,Low Risk,11.77785377760414,Low,0.07450473975678883,40-50
1166,60,1,No Travel,Network Administration,38,Degree,2,Female,130365,1,7,QA Analyst,1,Single,0,Yes,81,17,2,10,7,3,0.5555555555555556,7,18623.571428571428,0.0,0.7,14,0,Poor management support,-0.4,0.9990011280953152,99.90011280953152,High Risk,99.98237284874087,High,99.90011280953152,50-60
1167,39,0,Travel Frequently,Cyber Security,37,Graduation,3,Female,125702,4,3,HR,2,Divorced,9,No,92,11,5,8,9,0,0.6666666666666666,8,41900.666666666664,0.8181818181818182,1.125,11,0,I am happy with my team,0.8,0.006197910351207699,0.6197910351207699,Low Risk,38.34466900619778,Low,0.6197910351207699,30-40
1168,43,1,Travel Rarely,Software Development,42,Graduation,1,Male,96099,1,3,Help Desk,3,Single,6,Yes,92,17,2,5,7,5,0.2777777777777778,0,32033.0,0.35294117647058826,1.4,12,0,Poor management support,-0.4,0.9926713679497988,99.26713679497988,High Risk,82.22361237558468,High,99.26713679497988,40-50
1169,45,0,Travel Frequently,IT Services,34,Master's,4,Male,130632,3,4,Developer,4,Married,5,Yes,49,18,3,5,4,8,0.2631578947368421,-3,32658.0,0.2777777777777778,0.8,10,0,Supportive management,0.5,0.007455278362592001,0.7455278362592,Low Risk,32.48450491228104,Low,0.7455278362592,40-50
1170,38,0,Travel Frequently,Network Administration,47,Master's,5,Female,45578,4,8,Support,5,Married,10,Yes,94,15,2,4,10,0,0.25,4,5697.25,0.6666666666666666,2.5,15,0,Good work life balance,0.7,0.2927997245734545,29.279972457345448,Low Risk,16.9317598454139,Low,29.279972457345448,30-40
1171,24,0,Travel Rarely,IT Services,32,Degree,5,Male,156023,3,7,Help Desk,4,Divorced,5,No,62,4,3,4,9,5,0.8,-1,22289.0,1.25,2.25,-1,0,Good work life balance,0.7,0.0018688723013645465,0.18688723013645464,Low Risk,32.38592127590644,Low,0.18688723013645464,18-30
1172,34,1,Travel Frequently,IT Services,43,Degree,2,Female,189799,2,3,IT,1,Divorced,5,No,98,13,3,5,4,7,0.35714285714285715,-2,63266.333333333336,0.38461538461538464,0.8,6,0,High stress workload,0.16,0.8189347477863684,81.89347477863684,High Risk,85.04002496093591,High,81.89347477863684,30-40
1173,37,1,Travel Frequently,IT Services,46,PhD,1,Female,155945,1,6,Help Desk,4,Married,9,No,94,6,5,5,0,4,0.7142857142857143,1,25990.833333333332,1.5,0.0,2,0,No promotion opportunities,0.0,0.977764159704199,97.7764159704199,High Risk,73.13701458301529,High,97.7764159704199,30-40
1174,58,0,No Travel,Data Science,46,Graduation,4,Male,186881,3,2,IT,2,Married,2,Yes,100,6,5,6,3,5,0.8571428571428571,1,93440.5,0.3333333333333333,0.5,1,0,Good work life balance,0.7,0.0038421162122834166,0.3842116212283417,Low Risk,50.067802050805,Medium,0.3842116212283417,50-60
1175,37,0,No Travel,Cyber Security,35,Degree,1,Male,80468,4,5,Software Engineer,4,Divorced,3,No,62,6,4,3,3,7,0.42857142857142855,-4,16093.6,0.5,1.0,-1,0,Career growth is good,0.7,0.012797426614471868,1.2797426614471867,Low Risk,20.814072234373032,Low,1.2797426614471867,30-40
1176,39,0,Travel Rarely,Cyber Security,28,Degree,4,Male,163829,3,6,Director,4,Single,0,No,28,18,1,6,10,1,0.3157894736842105,5,27304.833333333332,0.0,1.6666666666666667,17,0,I am happy with my team,0.8,0.01269216778375095,1.269216778375095,Low Risk,32.57692060794855,Low,1.269216778375095,30-40
1177,45,0,Travel Rarely,Software Development,22,PhD,4,Male,44725,4,4,Help Desk,3,Divorced,0,No,17,4,3,5,4,3,1.0,2,11181.25,0.0,0.8,1,0,I am happy with my team,0.8,0.00044948666991296475,0.044948666991296474,Low Risk,29.4196968235867,Low,0.044948666991296474,40-50
1178,57,0,Travel Rarely,Network Administration,16,Graduation,5,Male,80579,5,7,Developer,4,Single,6,No,91,19,4,4,10,8,0.2,-4,11511.285714285714,0.3157894736842105,2.5,11,0,Good work life balance,0.7,0.0008935443879560928,0.08935443879560928,Low Risk,8.839297842140402,Low,0.08935443879560928,50-60
1179,24,0,Travel Rarely,Software Development,46,PhD,2,Female,52072,1,5,Software Engineer,3,Single,3,No,89,4,3,10,0,5,2.0,5,10414.4,0.75,0.0,-1,0,Career growth is good,0.7,0.01999960171568353,1.9999601715683528,Low Risk,65.058816500865,Medium,1.9999601715683528,18-30
1180,18,0,Travel Rarely,Network Administration,42,Graduation,2,Male,105893,2,7,Manager,1,Divorced,1,No,44,17,2,2,10,0,0.1111111111111111,2,15127.57142857143,0.058823529411764705,5.0,17,0,Good work life balance,0.7,0.5294698471803129,52.94698471803129,Medium Risk,79.93182083259374,High,52.94698471803129,
1181,49,0,Travel Frequently,IT Services,40,Graduation,1,Female,48768,3,3,Support,3,Divorced,7,No,52,4,1,2,5,8,0.4,-6,16256.0,1.75,2.5,-4,0,I am happy with my team,0.8,0.16562761364992887,16.562761364992888,Low Risk,44.09931082911639,Medium,16.562761364992888,40-50
1182,30,0,Travel Rarely,Network Administration,12,Graduation,4,Female,109123,3,3,QA Analyst,3,Divorced,6,Yes,37,6,3,4,2,8,0.5714285714285714,-4,36374.333333333336,1.0,0.5,-2,0,Career growth is good,0.7,0.00021061286090563687,0.021061286090563687,Low Risk,41.18018728578069,Medium,0.021061286090563687,18-30
1183,47,0,Travel Rarely,Network Administration,5,Degree,4,Male,108082,5,8,Director,1,Single,9,No,77,11,2,1,4,4,0.08333333333333333,-3,13510.25,0.8181818181818182,4.0,7,0,Career growth is good,0.7,0.057408934734041725,5.7408934734041726,Low Risk,36.30721649530662,Low,5.7408934734041726,40-50
1184,40,0,No Travel,IT Services,26,Degree,3,Male,38000,4,2,IT,3,Single,1,No,93,9,3,0,1,2,0.0,-2,19000.0,0.1111111111111111,inf,7,0,Career growth is good,0.7,0.0021054411307284146,0.21054411307284146,Low Risk,29.448919549365797,Low,0.21054411307284146,30-40
1185,36,1,Travel Frequently,Software Development,26,Degree,2,Female,30292,2,6,Help Desk,4,Divorced,10,No,53,19,1,2,5,8,0.1,-6,5048.666666666667,0.5263157894736842,2.5,11,0,Poor management support,-0.4,0.9964030746605497,99.64030746605496,High Risk,61.70123072930382,Medium,99.64030746605496,30-40
1186,49,0,Travel Frequently,Network Administration,13,Graduation,4,Male,125394,4,6,HR,1,Single,6,Yes,90,15,5,7,10,8,0.4375,-1,20899.0,0.4,1.4285714285714286,7,0,Good work life balance,0.7,0.0024753143343390184,0.24753143343390185,Low Risk,47.10250554707657,Medium,0.24753143343390185,40-50
1187,47,1,Travel Rarely,Software Development,24,Degree,1,Male,175019,4,4,Consultant,1,Single,6,Yes,13,0,1,5,1,5,5.0,0,43754.75,inf,0.2,-5,0,High stress workload,0.16,0.7722322444876315,77.22322444876315,High Risk,60.68645137331114,Medium,77.22322444876315,40-50
1188,46,0,Travel Frequently,Software Development,44,Master's,5,Male,162606,3,6,HR,3,Single,2,Yes,9,4,4,1,0,0,0.2,1,27101.0,0.5,0.0,4,0,Good work life balance,0.7,0.012647511477325254,1.2647511477325255,Low Risk,41.399661967246914,Medium,1.2647511477325255,40-50
1189,62,0,No Travel,Cyber Security,3,Master's,5,Female,154431,3,7,Support,3,Divorced,8,Yes,32,6,4,10,4,0,1.4285714285714286,10,22061.571428571428,1.3333333333333333,0.4,6,0,Supportive management,0.5,0.014364132190644759,1.4364132190644758,Low Risk,41.42995527395256,Medium,1.4364132190644758,
1190,46,0,Travel Rarely,IT Services,32,Master's,2,Male,195231,3,4,Manager,2,Married,4,No,56,1,3,7,7,1,3.5,6,48807.75,4.0,1.0,0,0,Good work life balance,0.7,0.021476278078033033,2.1476278078033033,Low Risk,50.37899314255352,Medium,2.1476278078033033,40-50
1191,47,1,Travel Rarely,IT Services,23,PhD,2,Male,47404,1,1,IT,1,Divorced,7,No,29,0,2,8,4,3,8.0,5,47404.0,inf,0.5,-3,0,Salary is low,0.0,0.6743568906648528,67.43568906648528,Medium Risk,94.25335689408563,High,67.43568906648528,40-50
1192,33,1,No Travel,Data Science,49,Degree,3,Female,150835,1,2,Manager,5,Single,7,No,41,8,2,1,0,3,0.1111111111111111,-2,75417.5,0.875,0.0,5,0,Poor management support,-0.4,0.9555078923300131,95.55078923300131,High Risk,63.92072751170611,Medium,95.55078923300131,30-40
1193,57,0,Travel Rarely,Software Development,37,Below College,2,Male,61490,3,4,Developer,4,Single,0,Yes,57,9,1,1,3,0,0.1,1,15372.5,0.0,3.0,9,0,I am happy with my team,0.8,0.23728531844077194,23.728531844077196,Low Risk,36.5403291489548,Low,23.728531844077196,50-60
1194,36,0,Travel Rarely,Data Science,38,Graduation,4,Female,137792,4,5,HR,3,Single,4,No,64,12,1,8,8,2,0.6153846153846154,6,27558.4,0.3333333333333333,1.0,10,0,Supportive management,0.5,0.019434092059326783,1.9434092059326784,Low Risk,29.754719271635178,Low,1.9434092059326784,30-40
1195,35,0,Travel Rarely,IT Services,45,Graduation,4,Male,173550,2,7,Help Desk,1,Divorced,4,No,18,2,2,6,7,8,2.0,-2,24792.85714285714,2.0,1.1666666666666667,-6,0,Good work life balance,0.7,0.012441553504583218,1.2441553504583218,Low Risk,70.8077921206691,High,1.2441553504583218,30-40
1196,18,0,Travel Rarely,IT Services,38,Degree,4,Male,117017,2,3,Business Analyst,1,Single,2,No,18,14,4,3,5,3,0.2,0,39005.666666666664,0.14285714285714285,1.6666666666666667,11,0,Supportive management,0.5,0.0031306832597079817,0.31306832597079814,Low Risk,70.64348264575956,High,0.31306832597079814,
1197,31,0,Travel Rarely,Data Science,13,PhD,4,Male,123281,4,5,Manager,4,Single,4,Yes,39,8,2,3,7,0,0.3333333333333333,3,24656.2,0.5,2.3333333333333335,8,0,I am happy with my team,0.8,0.003612690138553187,0.36126901385531873,Low Risk,20.65198864950388,Low,0.36126901385531873,30-40
1198,19,1,Travel Rarely,IT Services,15,Master's,3,Male,82905,5,7,Consultant,1,Married,0,No,4,9,2,0,5,3,0.0,-3,11843.57142857143,0.0,inf,6,0,Poor management support,-0.4,0.7367600507313038,73.67600507313038,High Risk,48.29576560114066,Medium,73.67600507313038,18-30
1199,45,0,Travel Rarely,IT Services,2,Graduation,2,Male,49041,4,8,Director,5,Married,9,Yes,24,3,3,7,7,8,1.75,-1,6130.125,3.0,1.0,-5,0,I am happy with my team,0.8,0.015711438586087048,1.5711438586087048,Low Risk,12.04196656328389,Low,1.5711438586087048,40-50
1200,47,0,Travel Rarely,Cyber Security,11,Degree,2,Female,173895,2,6,Technician,2,Single,9,Yes,32,2,5,10,3,7,3.3333333333333335,3,28982.5,4.5,0.3,-5,0,Supportive management,0.5,0.017037596850495208,1.7037596850495207,Low Risk,62.06536935618521,Medium,1.7037596850495207,40-50
1201,55,0,Travel Frequently,Network Administration,16,Degree,2,Female,88020,5,3,Consultant,4,Divorced,0,Yes,55,2,1,7,3,0,2.3333333333333335,7,29340.0,0.0,0.42857142857142855,2,0,I am happy with my team,0.8,0.018996072489680275,1.8996072489680276,Low Risk,9.158754220406122,Low,1.8996072489680276,50-60
1202,21,0,No Travel,Cyber Security,18,PhD,3,Female,166449,5,8,Director,5,Single,9,No,84,4,3,8,10,4,1.6,4,20806.125,2.25,1.25,0,0,Supportive management,0.5,0.01666551588915323,1.6665515889153228,Low Risk,0.2940973392203511,Low,1.6665515889153228,18-30
1203,18,0,Travel Rarely,Network Administration,34,Below College,3,Male,176189,2,2,Consultant,1,Single,0,No,30,2,1,2,1,0,0.6666666666666666,2,88094.5,0.0,0.5,2,0,Career growth is good,0.7,0.028441068281136152,2.844106828113615,Low Risk,71.09013649907887,High,2.844106828113615,
